Vehiculos
1,2016,blanco,/assets/images/cars/dodge_challenger.jpg,dwe23dew,1f232342334kkjkl2k,1,54,1
2,2012,rojo,/assets/images/cars/dodge_charger.jpg,dwe23dew,wer54we5r45w884554845,1,55,1
3,2015,gris,/assets/images/cars/explorer.jpeg,dwe23dew,32rfwe32fwefwer23rr23rr32,2,81,1
4,2002,gris,/assets/images/cars/honda_civic.jpg,dwe23dew,23423fwdfsdfsdfsdfwer223,3,194,1
5,2023,arena,/assets/images/cars/honda_accord.jpg,dwe23dew,afwe3r3fwefwer3232,4,192,1
6,2005,verde,/assets/images/cars/mitsubishi_mirage.jpg,4543jfd,235lkhghjgjiu435kj34j4,5,347,1
7,2012,azul,/assets/images/cars/mini_countryman.jpg,4345erw,34r54we5sdf5w884554845,6,342,1
8,2002,gris,/assets/images/cars/honda_civic.jpg,dwe23dew,23423fwdfsdfsdfsdfwer223,6,194,1
9,2023,arena,/assets/images/cars/honda_accord.jpg,dwe23dew,afwe3r3fwefwer3232,6,192,1
10,2005,verde,/assets/images/cars/mitsubishi_mirage.jpg,4543jfd,235lkhghjgjiu435kj34j4,6,347,1
11,2012,azul,/assets/images/cars/mini_countryman.jpg,4345erw,34r54we5sdf5w884554845,6,342,1
